strike,option_type,market_price,theoretical_price_fixed,theoretical_price_implied,implied_volatility,absolute_error_fixed,absolute_error_implied,relative_error_fixed,relative_error_implied,moneyness,delta,gamma,vega,theta,rho
25400.0,put,28.75,562.4258099512845,529.022956809582,0.05,533.6758099512845,500.27295680958196,1856.2636867870765,1740.079849772459,1.0221327967806841,-0.9992408703601465,1.1415454520227296e-05,5.7939452169592265,1267.1316485976458,-416.8793192097406
25450.0,put,26.3,606.1850697139962,578.9544855458334,0.05,579.8850697139962,552.6544855458335,2204.8861966311642,2101.347853786439,1.0241448692152917,-0.9995882995471123,3.977507541343587e-06,2.0187948498898725,1276.5502532468915,-417.84203390616267
25500.0,put,31.15,650.9267617786609,628.8964076800185,0.05,619.7767617786609,597.7464076800185,1989.6525257741923,1918.9290776244575,1.0261569416498995,-0.9997046487289736,1.2643804840137118e-06,0.6417397787172799,1282.0353132981516,-418.7105248536166
25600.0,put,29.45,742.8848227912385,728.7879322434637,0.05,713.4348227912385,699.3379322434637,2422.529109647669,2374.661909145887,1.0301810865191148,-0.9997501671849403,9.722994074467347e-08,0.04934932280835831,1289.485746228009,-420.3711712896859
25650.0,put,25.85,789.8836635559564,778.7344523799475,0.05,764.0336635559564,752.8844523799474,2955.642799055924,2912.5123883170113,1.0321931589537223,-0.999752705478984,2.3546272078903788e-08,0.011950974903982078,1292.7923005213343,-421.19324685259227
25700.0,put,23.55,837.4319508712542,828.6810378110204,0.05,813.8819508712543,805.1310378110204,3455.974313678362,3418.8154471805537,1.0342052313883299,-0.9997532982897307,5.213467094026107e-09,0.0026461095070444405,1296.0537162911646,-422.0145287722327
25750.0,put,135.15,885.443662886657,878.6276379566261,0.05,750.293662886657,743.4776379566262,555.1562433493577,550.1129396645402,1.0362173038229376,-0.9997534249730589,1.0559482577074331e-09,0.0005359494312083329,1299.3036119064461,-422.8356205238981
25800.0,put,38.8,933.8424034952914,928.574241138791,0.05,895.0424034952914,889.774241138791,2306.810318286834,2293.2325802546166,1.0382293762575452,-0.9997534497571442,1.9574816821882417e-10,9.935251907581549e-05,1302.5508358986501,-423.6566707003368
25850.0,put,30.05,982.5612120815422,978.5208448950725,0.05,952.5112120815422,948.4708448950726,3169.754449522603,3156.308968036847,1.040241448692153,-0.9997534541982956,3.322903787480939e-11,1.686548921181944e-05,1305.7974961099635,-424.4777125762638
25900.0,put,39.65,1031.5421415827695,1028.4674487508419,0.05,991.8921415827696,988.8174487508419,2501.6195247989144,2493.864940103006,1.0422535211267605,-0.9997534549275939,5.168055095540162e-12,2.6230605227964656e-06,1309.0440479271022,-425.2987529375597
26000.0,put,35.5,1130.0999494920725,1128.3606564963193,0.05,1094.5999494920725,1092.8606564963193,3083.380139414289,3078.4807225248433,1.0462776659959758,-0.9997534550525631,9.633921707055475e-14,4.8897233567220526e-08,1315.5371105007057,-426.9408331159317
26200.0,put,60.65,1328.6534897443453,1328.147071993244,0.05,1268.0034897443452,1267.497071993244,2090.690007822498,2089.8550238965277,1.0543259557344065,-0.9997534550547353,1.1976270663078803e-17,6.078588986746093e-12,1328.52322758506,-430.22499337156296
26300.0,put,11.45,1428.300889149723,1428.0402797417337,0.05,1416.850889149723,1416.5902797417336,12374.243573360027,12371.96750866143,1.0583501006036218,-0.9997534550547356,8.050371637082784e-20,4.0859881802140714e-14,1335.0162860887215,-431.86707349893544
26500.0,put,5.65,1627.889461006409,1627.8266952387057,0.05,1622.2394610064089,1622.1766952387056,28712.20284967095,28711.09195112753,1.0663983903420524,-0.9997534550547356,1.348105436438109e-24,6.842346077037141e-19,1348.0024030960246,-435.1512337536802
26550.0,put,104.05,1677.8164088843514,1677.7732991129487,0.05,1573.7664088843514,1573.7232991129488,1512.5097634640572,1512.4683316799124,1.06841046277666,-0.9997534550547356,7.03235750127999e-26,3.5692923165075387e-20,1351.2489323478505,-435.9722738173664
26600.0,put,120.75,1727.749279705029,1727.7199029871917,0.05,1606.999279705029,1606.9699029871917,1330.8482647660696,1330.8239362212769,1.0704225352112675,-0.9997534550547356,3.384127156221556e-27,1.7176230097215007e-21,1354.4954615996762,-436.7933138810526
26800.0,put,121.45,1927.512174024061,1927.5063184841638,0.05,1806.062174024061,1806.0563184841637,1487.0828933915695,1487.0780720330702,1.0784708249496981,-0.9997534550547356,8.175827770669154e-33,4.1496637845312676e-27,1367.4815786069796,-440.0774741357974
26900.0,put,90.95,2027.4020205620727,2027.3995262326498,0.05,1936.4520205620727,1936.4495262326498,2129.139110018771,2129.136367490544,1.0824949698189135,-0.9997534550547356,7.926250519733814e-36,4.022990167045745e-30,1373.9746371106312,-441.7195542631697
